Index,DelayTime,Check,AnswerTime
1,0.0000,Yes,43.00
2,0.0000,Yes,37.24
3,0.8800,No,40.53
4,0.0000,Yes,35.99
5,0.0000,Yes,36.30
6,0.4400,Yes,36.17
7,0.4400,Yes,36.32
8,0.8800,No,37.46
9,0.4400,Yes,40.90
10,0.4400,Yes,36.35
11,0.6600,Yes,36.47
12,0.6600,Yes,37.16
13,0.8800,Yes,36.22
14,0.8800,Yes,36.15
15,1.1000,Yes,37.43
16,1.1000,Yes,36.79
17,1.3200,Yes,36.91
18,1.3200,Yes,36.01
19,1.5400,Yes,41.38
20,1.5400,Yes,39.57
21,1.7600,Yes,38.82
22,1.7600,No,39.26
23,1.5400,Yes,38.90
24,1.5400,Yes,37.63
25,1.6500,Yes,36.64
26,1.6500,Yes,36.14
27,1.7600,Yes,36.10
28,1.7600,Yes,35.85
29,1.8700,Yes,36.65
30,1.8700,Yes,39.50
31,1.9800,Yes,42.61
32,1.9800,Yes,36.42
33,2.0900,No,37.46
34,1.9800,Yes,36.70
35,1.9800,Yes,36.57
NEXT,NEXT,NEXT
ReversalPtIndex,ExpIndex,DelayTime
1,3,0.88
2,5,0
3,8,0.88
4,10,0.44
5,22,1.76
6,24,1.54
7,33,2.09
8,35,1.98
