Index,DelayTime,Check,AnswerTime
1,0.0000,Yes,52.05
2,0.0000,Yes,41.32
3,0.8800,Yes,51.60
4,0.8800,Yes,40.11
5,1.7600,Yes,40.02
6,1.7600,Yes,39.39
7,2.6400,Yes,40.94
8,2.6400,Yes,41.29
9,3.5200,Yes,38.51
10,3.5200,Yes,48.11
11,4.4000,No,46.19
12,3.5200,Yes,40.17
13,3.5200,No,39.78
14,2.6400,Yes,44.69
15,2.6400,Yes,38.46
16,3.0800,Yes,38.58
17,3.0800,Yes,694.35
18,3.5200,Yes,39.66
19,3.5200,Yes,38.63
20,3.9600,No,45.26
21,3.5200,Yes,42.73
22,3.5200,Yes,40.53
23,3.7400,Yes,38.49
24,3.7400,No,40.06
25,3.5200,Yes,39.20
26,3.5200,Yes,39.54
27,3.6300,Yes,42.99
28,3.6300,Yes,41.07
29,3.7400,No,37.33
NEXT,NEXT,NEXT
ReversalPtIndex,ExpIndex,DelayTime
1,11,4.4
2,15,2.64
3,20,3.96
4,22,3.52
5,24,3.74
6,26,3.52
7,29,3.74
