Index,DelayTime,Check,AnswerTime
1,0.0000,Yes,36.56
2,0.0000,Yes,35.71
3,0.8800,Yes,43.07
4,0.8800,Yes,38.41
5,1.7600,Yes,37.73
6,1.7600,Yes,35.88
7,2.6400,Yes,45.24
8,2.6400,Yes,41.96
9,3.5200,Yes,78.91
10,3.5200,No,35.78
11,2.6400,No,40.73
12,1.7600,Yes,35.42
13,1.7600,Yes,35.70
14,2.2000,Yes,34.97
15,2.2000,Yes,35.57
16,2.6400,Yes,36.56
17,2.6400,No,38.18
18,2.2000,No,38.09
19,1.7600,Yes,36.41
20,1.7600,Yes,45.35
21,1.9800,Yes,37.44
22,1.9800,Yes,41.96
23,2.2000,Yes,34.45
24,2.2000,Yes,33.98
25,2.4200,No,35.33
26,2.2000,Yes,34.06
27,2.2000,Yes,34.22
28,2.3100,No,41.23
29,2.2000,Yes,34.74
30,2.2000,Yes,34.12
NEXT,NEXT,NEXT
ReversalPtIndex,ExpIndex,DelayTime
1,10,3.52
2,13,1.76
3,17,2.64
4,20,1.76
5,25,2.42
6,27,2.2
7,28,2.31
8,30,2.2
