Index,DelayTime,Check,AnswerTime
1,0.0000,No,88.73
2,0.0000,Yes,61.03
3,0.0000,Yes,42.79
4,0.4400,Yes,38.24
5,0.4400,Yes,41.61
6,0.8800,Yes,36.53
7,0.8800,Yes,37.03
8,1.3200,Yes,43.10
9,1.3200,Yes,35.93
10,1.7600,No,41.45
11,1.3200,Yes,36.33
12,1.3200,No,36.67
13,0.8800,Yes,37.47
14,0.8800,Yes,37.64
15,1.1000,Yes,51.68
16,1.1000,No,37.20
17,0.8800,Yes,49.63
18,0.8800,Yes,36.33
19,0.9900,Yes,36.30
20,0.9900,Yes,36.45
21,1.1000,Yes,40.20
22,1.1000,Yes,38.60
23,1.2100,Yes,36.58
24,1.2100,Yes,37.75
25,1.3200,Yes,36.53
26,1.3200,Yes,37.50
27,1.4300,No,36.59
28,1.3200,Yes,38.56
29,1.3200,Yes,39.43
NEXT,NEXT,NEXT
ReversalPtIndex,ExpIndex,DelayTime
1,1,0
2,3,0
3,10,1.76
4,14,0.8799999
5,16,1.1
6,18,0.8799999
7,27,1.43
8,29,1.32
