Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light 1_60,284713,True
statics results
area(%),count
0,7
0.1,13
0.2,11
0.3,6
0.4,4
0.5,2
0.6,5
0.7,1
0.8,1
0.9,1
1,7
2,2
Raw Data
hash,area(%),isTriggered
-129510,0.5305,0
-129524,0.0997,0
-129538,0.2922,0
-129552,1.1264,0
-129566,0.8384,0
-129580,0.3827,0
-129594,0.6264,0
-129608,0.1720,0
-129622,0.2905,0
-129636,0.1282,0
-129650,0.3847,0
-129664,0.2383,0
-129678,0.3093,0
-129692,0.4417,0
-129706,0.2697,0
-129720,0.2128,0
-129734,1.2850,0
-129748,0.6684,0
-129762,1.7817,0
-129776,0.7944,0
-129790,0.0256,0
-129804,0.1497,0
-129818,0.1519,0
-129832,0.1128,0
-129846,0.6282,0
-129860,0.0667,0
-129874,0.0694,0
-129888,1.0779,0
-129902,0.1555,0
-129916,0.1176,0
-129930,0.0851,0
-129944,0.4291,0
-129958,0.4851,0
-129972,0.2217,0
-129986,1.0511,0
-130000,0.0947,0
-130014,0.1832,0
-130028,0.2250,0
-130042,1.4701,0
-130056,1.7262,0
-130070,0.0282,0
-130084,0.1254,0
-130098,0.1201,0
-130112,0.2382,0
-130126,0.3001,0
-130140,0.3145,0
-130154,0.3395,0
-130168,0.2382,0
-130182,0.6101,0
-130196,0.1672,0
-130210,0.1074,0
-130224,0.9037,0
-130238,0.2690,0
-130252,0.5354,0
-130266,0.2606,0
-130280,0.4458,0
-130294,0.1953,0
-130308,2.3667,0
-130322,2.1586,0
-130336,0.6481,0
