Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light 1,284713,True
statics results
area(%),count
0,14
0.1,10
0.2,22
0.3,10
0.4,6
0.5,11
0.6,3
0.7,2
0.8,2
0.9,3
1,6
2,1
Raw Data
hash,area(%),isTriggered
-70612,0.5432,0
-70628,0.1937,0
-70644,0.0700,0
-70660,0.2387,0
-70676,0.5303,0
-70692,0.2540,0
-70708,0.6264,0
-70724,0.0938,0
-70740,0.5065,0
-70756,0.1958,0
-70772,0.8758,0
-70788,0.4415,0
-70804,0.3415,0
-70820,0.2515,0
-70836,0.2804,0
-70852,0.2132,0
-70868,0.3500,0
-70884,0.0994,0
-70900,0.4039,0
-70916,0.3407,0
-70932,0.0891,0
-70948,0.3119,0
-70964,0.3929,0
-70980,0.2475,0
-70996,1.1273,0
-71012,0.2922,0
-71028,0.2248,0
-71044,1.8793,0
-71060,0.4591,0
-71076,0.3212,0
-71092,0.0874,0
-71108,0.2824,0
-71124,0.2258,0
-71140,0.0886,0
-71156,0.5676,0
-71172,0.0356,0
-71188,0.0478,0
-71204,0.2367,0
-71220,0.7222,0
-71236,0.5146,0
-71252,0.0598,0
-71268,0.4089,0
-71284,0.2510,0
-71300,0.5356,0
-71316,0.2459,0
-71332,0.5394,0
-71348,0.5594,0
-71364,0.1996,0
-71380,0.7943,0
-71396,0.2229,0
-71412,0.1660,0
-71428,0.9995,0
-71444,0.2767,0
-71460,0.5570,0
-71476,1.0710,0
-71492,1.0819,0
-71508,0.6100,0
-71524,0.8355,0
-71540,2.2915,0
-71556,0.6744,0
-71572,0.0621,0
-71588,0.1037,0
-71604,0.1802,0
-71620,0.3402,0
-71636,0.1592,0
-71652,0.1140,0
-71668,0.2380,0
-71684,0.0866,0
-71700,0.0848,0
-71716,0.9462,0
-71732,0.0464,0
-71748,0.3527,0
-71764,0.9770,0
-71780,0.1456,0
-71796,0.3324,0
-71812,0.2111,0
-71828,0.2279,0
-71844,0.2549,0
-71860,0.1673,0
-71876,0.3160,0
-71892,0.2026,0
-71908,0.4414,0
-71924,0.5292,0
-71940,0.0633,0
-71956,1.2562,0
-71972,1.2446,0
-71988,0.2505,0
-72004,0.2576,0
-72020,0.4067,0
-72036,0.5191,0
