Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light_100,284713,True
statics results
area(%),count
0,21
0.1,8
0.2,13
0.3,14
0.4,10
0.5,8
0.6,3
0.7,2
0.8,2
1,9
Raw Data
hash,area(%),isTriggered
-35340,0.2124,0
-35354,0.0407,0
-35368,0.0384,0
-35382,0.0224,0
-35396,0.2559,0
-35410,0.3192,0
-35424,0.3003,0
-35438,0.3171,0
-35452,0.3506,0
-35466,0.3445,0
-35480,0.4818,0
-35494,1.4121,0
-35508,0.0502,0
-35522,0.0637,0
-35536,0.2291,0
-35550,1.0532,0
-35564,0.2312,0
-35578,0.4013,0
-35592,0.4173,0
-35606,0.4080,0
-35620,0.3163,0
-35634,0.5991,0
-35648,0.5054,0
-35662,0.1745,0
-35676,0.6484,0
-35690,0.2115,0
-35704,0.7249,0
-35718,0.4358,0
-35732,0.6989,0
-35746,0.5197,0
-35760,0.0827,0
-35774,0.0956,0
-35788,0.0254,0
-35802,0.0114,0
-35816,0.3906,0
-35830,0.3653,0
-35844,0.2761,0
-35858,0.0238,0
-35872,0.1314,0
-35886,0.3243,0
-35900,1.1514,0
-35914,0.8244,0
-35928,0.1527,0
-35942,0.2664,0
-35956,0.1286,0
-35970,0.0586,0
-35984,0.6019,0
-35998,0.0668,0
-36012,0.4727,0
-36026,0.5803,0
-36040,0.3155,0
-36054,0.2278,0
-36068,0.7030,0
-36082,0.1701,0
-36096,1.0125,0
-36110,0.2976,0
-36124,0.5715,0
-36138,1.6546,0
-36152,0.4380,0
-36166,1.1813,0
-36180,0.0541,0
-36194,0.0440,0
-36208,0.1649,0
-36222,0.0643,0
-36236,0.0467,0
-36250,0.1708,0
-36264,0.0292,0
-36278,0.0385,0
-36292,0.0748,0
-36306,1.0407,0
-36320,1.4139,0
-36334,0.5675,0
-36348,0.1154,0
-36362,0.0472,0
-36376,0.0326,0
-36390,0.3775,0
-36404,0.3971,0
-36418,0.2945,0
-36432,0.2650,0
-36446,0.3678,0
-36460,0.3949,0
-36474,0.4004,0
-36488,0.5220,0
-36502,0.2744,0
-36516,0.8403,0
-36530,0.4419,0
-36544,0.5014,0
-36558,1.1927,0
-36572,0.2640,0
-36586,0.4969,0
