Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light,505306,True
statics results
area(%),count
0,21
0.1,17
0.2,12
0.3,9
0.4,5
0.5,5
0.6,7
0.7,4
0.8,3
0.9,2
1,5
Raw Data
hash,area(%),isTriggered
-14718,0.1028,0
-14732,0.1385,0
-14746,0.1901,0
-14760,0.4448,0
-14774,0.3028,0
-14788,0.2846,0
-14802,0.3579,0
-14816,0.0920,0
-14830,0.6642,0
-14844,0.1266,0
-14858,0.0346,0
-14872,1.1509,0
-14886,0.1778,0
-14900,0.0455,0
-14914,0.0741,0
-14928,0.6091,0
-14942,0.0543,0
-14956,0.0609,0
-14970,0.5326,0
-14984,0.2975,0
-14998,0.2339,0
-15012,0.0671,0
-15026,0.2188,0
-15040,0.9716,0
-15054,0.3482,0
-15068,0.7334,0
-15082,0.6041,0
-15096,1.1123,0
-15110,0.2286,0
-15124,0.1439,0
-15138,0.0545,0
-15152,0.1132,0
-15166,0.3938,0
-15180,0.0357,0
-15194,0.1178,0
-15208,0.1407,0
-15222,0.1637,0
-15236,0.4176,0
-15250,0.5654,0
-15264,0.8974,0
-15278,0.6042,0
-15292,0.2408,0
-15306,0.0398,0
-15320,0.0381,0
-15334,0.0413,0
-15348,0.6320,0
-15362,0.7755,0
-15376,0.1887,0
-15390,0.0756,0
-15404,0.1454,0
-15418,0.2686,0
-15432,0.8882,0
-15446,0.4342,0
-15460,0.2178,0
-15474,1.4723,0
-15488,1.4384,0
-15502,0.5680,0
-15516,0.4543,0
-15530,0.4484,0
-15544,0.1455,0
-15558,0.0177,0
-15572,0.0416,0
-15586,0.2155,0
-15600,0.0299,0
-15614,0.0307,0
-15628,0.0936,0
-15642,0.3179,0
-15656,0.2760,0
-15670,0.0813,0
-15684,0.2868,0
-15698,0.3769,0
-15712,1.0565,0
-15726,0.8053,0
-15740,0.0619,0
-15754,0.1203,0
-15768,0.0346,0
-15782,0.1088,0
-15796,0.1367,0
-15810,0.6298,0
-15824,0.3259,0
-15838,0.5666,0
-15852,0.7099,0
-15866,0.3449,0
-15880,0.5465,0
-15894,0.1737,0
-15908,0.3645,0
-15922,0.6289,0
-15936,0.9547,0
-15950,0.7059,0
-15964,0.2579,0
