Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_shake 1_60,284713,True
statics results
area(%),count
0,7
0.1,13
0.2,11
0.3,6
0.4,4
0.5,2
0.6,5
0.7,1
0.8,1
0.9,1
1,7
2,2
Raw Data
hash,area(%),isTriggered
-130758,0.5305,0
-130772,0.0997,0
-130786,0.2922,0
-130800,1.1264,0
-130814,0.8384,0
-130828,0.3827,0
-130842,0.6264,0
-130856,0.1720,0
-130870,0.2905,0
-130884,0.1282,0
-130898,0.3847,0
-130912,0.2383,0
-130926,0.3093,0
-130940,0.4417,0
-130954,0.2697,0
-130968,0.2128,0
-130982,1.2850,0
-130996,0.6684,0
-131010,1.7817,0
-131024,0.7944,0
-131038,0.0256,0
-131052,0.1497,0
-131066,0.1519,0
-131080,0.1128,0
-131094,0.6282,0
-131108,0.0667,0
-131122,0.0694,0
-131136,1.0779,0
-131150,0.1555,0
-131164,0.1176,0
-131178,0.0851,0
-131192,0.4291,0
-131206,0.4851,0
-131220,0.2217,0
-131234,1.0511,0
-131248,0.0947,0
-131262,0.1832,0
-131276,0.2250,0
-131290,1.4701,0
-131304,1.7262,0
-131318,0.0282,0
-131332,0.1254,0
-131346,0.1201,0
-131360,0.2382,0
-131374,0.3001,0
-131388,0.3145,0
-131402,0.3395,0
-131416,0.2382,0
-131430,0.6101,0
-131444,0.1672,0
-131458,0.1074,0
-131472,0.9037,0
-131486,0.2690,0
-131500,0.5354,0
-131514,0.2606,0
-131528,0.4458,0
-131542,0.1953,0
-131556,2.3667,0
-131570,2.1586,0
-131584,0.6481,0
