Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_shake_60,284713,True
statics results
area(%),count
0,7
0.1,13
0.2,11
0.3,6
0.4,4
0.5,2
0.6,5
0.7,1
0.8,1
0.9,1
1,7
2,2
Raw Data
hash,area(%),isTriggered
-125958,0.5305,0
-125972,0.0997,0
-125986,0.2922,0
-126000,1.1264,0
-126014,0.8384,0
-126028,0.3827,0
-126042,0.6264,0
-126056,0.1720,0
-126070,0.2905,0
-126084,0.1282,0
-126098,0.3847,0
-126112,0.2383,0
-126126,0.3093,0
-126140,0.4417,0
-126154,0.2697,0
-126168,0.2128,0
-126182,1.2850,0
-126196,0.6684,0
-126210,1.7817,0
-126224,0.7944,0
-126238,0.0256,0
-126252,0.1497,0
-126266,0.1519,0
-126280,0.1128,0
-126294,0.6282,0
-126308,0.0667,0
-126322,0.0694,0
-126336,1.0779,0
-126350,0.1555,0
-126364,0.1176,0
-126378,0.0851,0
-126392,0.4291,0
-126406,0.4851,0
-126420,0.2217,0
-126434,1.0511,0
-126448,0.0947,0
-126462,0.1832,0
-126476,0.2250,0
-126490,1.4701,0
-126504,1.7262,0
-126518,0.0282,0
-126532,0.1254,0
-126546,0.1201,0
-126560,0.2382,0
-126574,0.3001,0
-126588,0.3145,0
-126602,0.3395,0
-126616,0.2382,0
-126630,0.6101,0
-126644,0.1672,0
-126658,0.1074,0
-126672,0.9037,0
-126686,0.2690,0
-126700,0.5354,0
-126714,0.2606,0
-126728,0.4458,0
-126742,0.1953,0
-126756,2.3667,0
-126770,2.1586,0
-126784,0.6481,0
