Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_sound 1_60,284713,True
statics results
area(%),count
0,14
0.1,10
0.2,22
0.3,10
0.4,6
0.5,11
0.6,3
0.7,2
0.8,2
0.9,3
1,6
2,1
Raw Data
hash,area(%),isTriggered
-131778,0.5432,0
-131792,0.1937,0
-131806,0.0700,0
-131820,0.2387,0
-131834,0.5303,0
-131848,0.2540,0
-131862,0.6264,0
-131876,0.0938,0
-131890,0.5065,0
-131904,0.1958,0
-131918,0.8758,0
-131932,0.4415,0
-131946,0.3415,0
-131960,0.2515,0
-131974,0.2804,0
-131988,0.2132,0
-132002,0.3500,0
-132016,0.0994,0
-132030,0.4039,0
-132044,0.3407,0
-132058,0.0891,0
-132072,0.3119,0
-132086,0.3929,0
-132100,0.2475,0
-132114,1.1273,0
-132128,0.2922,0
-132142,0.2248,0
-132156,1.8793,0
-132170,0.4591,0
-132184,0.3212,0
-132198,0.0874,0
-132212,0.2824,0
-132226,0.2258,0
-132240,0.0886,0
-132254,0.5676,0
-132268,0.0356,0
-132282,0.0478,0
-132296,0.2367,0
-132310,0.7222,0
-132324,0.5146,0
-132338,0.0598,0
-132352,0.4089,0
-132366,0.2510,0
-132380,0.5356,0
-132394,0.2459,0
-132408,0.5394,0
-132422,0.5594,0
-132436,0.1996,0
-132450,0.7943,0
-132464,0.2229,0
-132478,0.1660,0
-132492,0.9995,0
-132506,0.2767,0
-132520,0.5570,0
-132534,1.0710,0
-132548,1.0819,0
-132562,0.6100,0
-132576,0.8355,0
-132590,2.2915,0
-132604,0.6744,0
-132618,0.0621,0
-132632,0.1037,0
-132646,0.1802,0
-132660,0.3402,0
-132674,0.1592,0
-132688,0.1140,0
-132702,0.2380,0
-132716,0.0866,0
-132730,0.0848,0
-132744,0.9462,0
-132758,0.0464,0
-132772,0.3527,0
-132786,0.9770,0
-132800,0.1456,0
-132814,0.3324,0
-132828,0.2111,0
-132842,0.2279,0
-132856,0.2549,0
-132870,0.1673,0
-132884,0.3160,0
-132898,0.2026,0
-132912,0.4414,0
-132926,0.5292,0
-132940,0.0633,0
-132954,1.2562,0
-132968,1.2446,0
-132982,0.2505,0
-132996,0.2576,0
-133010,0.4067,0
-133024,0.5191,0
