Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_sound 1,284713,True
statics results
area(%),count
0,14
0.1,10
0.2,22
0.3,10
0.4,6
0.5,11
0.6,3
0.7,2
0.8,2
0.9,3
1,6
2,1
Raw Data
hash,area(%),isTriggered
-53192,0.5432,0
-53208,0.1937,0
-53224,0.0700,0
-53240,0.2387,0
-53256,0.5303,0
-53272,0.2540,0
-53288,0.6264,0
-53304,0.0938,0
-53320,0.5065,0
-53336,0.1958,0
-53352,0.8758,0
-53368,0.4415,0
-53384,0.3415,0
-53400,0.2515,0
-53416,0.2804,0
-53432,0.2132,0
-53448,0.3500,0
-53464,0.0994,0
-53480,0.4039,0
-53496,0.3407,0
-53512,0.0891,0
-53528,0.3119,0
-53544,0.3929,0
-53560,0.2475,0
-53576,1.1273,0
-53592,0.2922,0
-53608,0.2248,0
-53624,1.8793,0
-53640,0.4591,0
-53656,0.3212,0
-53672,0.0874,0
-53688,0.2824,0
-53704,0.2258,0
-53720,0.0886,0
-53736,0.5676,0
-53752,0.0356,0
-53768,0.0478,0
-53784,0.2367,0
-53800,0.7222,0
-53816,0.5146,0
-53832,0.0598,0
-53848,0.4089,0
-53864,0.2510,0
-53880,0.5356,0
-53896,0.2459,0
-53912,0.5394,0
-53928,0.5594,0
-53944,0.1996,0
-53960,0.7943,0
-53976,0.2229,0
-53992,0.1660,0
-54008,0.9995,0
-54024,0.2767,0
-54040,0.5570,0
-54056,1.0710,0
-54072,1.0819,0
-54088,0.6100,0
-54104,0.8355,0
-54120,2.2915,0
-54136,0.6744,0
-54152,0.0621,0
-54168,0.1037,0
-54184,0.1802,0
-54200,0.3402,0
-54216,0.1592,0
-54232,0.1140,0
-54248,0.2380,0
-54264,0.0866,0
-54280,0.0848,0
-54296,0.9462,0
-54312,0.0464,0
-54328,0.3527,0
-54344,0.9770,0
-54360,0.1456,0
-54376,0.3324,0
-54392,0.2111,0
-54408,0.2279,0
-54424,0.2549,0
-54440,0.1673,0
-54456,0.3160,0
-54472,0.2026,0
-54488,0.4414,0
-54504,0.5292,0
-54520,0.0633,0
-54536,1.2562,0
-54552,1.2446,0
-54568,0.2505,0
-54584,0.2576,0
-54600,0.4067,0
-54616,0.5191,0
