Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_sound_60,284713,True
statics results
area(%),count
0,7
0.1,13
0.2,11
0.3,6
0.4,4
0.5,2
0.6,5
0.7,1
0.8,1
0.9,1
1,7
2,2
Raw Data
hash,area(%),isTriggered
-127164,0.5305,0
-127178,0.0997,0
-127192,0.2922,0
-127206,1.1264,0
-127220,0.8384,0
-127234,0.3827,0
-127248,0.6264,0
-127262,0.1720,0
-127276,0.2905,0
-127290,0.1282,0
-127304,0.3847,0
-127318,0.2383,0
-127332,0.3093,0
-127346,0.4417,0
-127360,0.2697,0
-127374,0.2128,0
-127388,1.2850,0
-127402,0.6684,0
-127416,1.7817,0
-127430,0.7944,0
-127444,0.0256,0
-127458,0.1497,0
-127472,0.1519,0
-127486,0.1128,0
-127500,0.6282,0
-127514,0.0667,0
-127528,0.0694,0
-127542,1.0779,0
-127556,0.1555,0
-127570,0.1176,0
-127584,0.0851,0
-127598,0.4291,0
-127612,0.4851,0
-127626,0.2217,0
-127640,1.0511,0
-127654,0.0947,0
-127668,0.1832,0
-127682,0.2250,0
-127696,1.4701,0
-127710,1.7262,0
-127724,0.0282,0
-127738,0.1254,0
-127752,0.1201,0
-127766,0.2382,0
-127780,0.3001,0
-127794,0.3145,0
-127808,0.3395,0
-127822,0.2382,0
-127836,0.6101,0
-127850,0.1672,0
-127864,0.1074,0
-127878,0.9037,0
-127892,0.2690,0
-127906,0.5354,0
-127920,0.2606,0
-127934,0.4458,0
-127948,0.1953,0
-127962,2.3667,0
-127976,2.1586,0
-127990,0.6481,0
