Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_sound,284713,True
statics results
area(%),count
0,14
0.1,10
0.2,22
0.3,10
0.4,6
0.5,11
0.6,3
0.7,2
0.8,2
0.9,3
1,6
2,1
Raw Data
hash,area(%),isTriggered
-33066,0.5432,0
-33080,0.1937,0
-33094,0.0700,0
-33108,0.2387,0
-33122,0.5303,0
-33136,0.2540,0
-33150,0.6264,0
-33164,0.0938,0
-33178,0.5065,0
-33192,0.1958,0
-33206,0.8758,0
-33220,0.4415,0
-33234,0.3415,0
-33248,0.2515,0
-33262,0.2804,0
-33276,0.2132,0
-33290,0.3500,0
-33304,0.0994,0
-33318,0.4039,0
-33332,0.3407,0
-33346,0.0891,0
-33360,0.3119,0
-33374,0.3929,0
-33388,0.2475,0
-33402,1.1273,0
-33416,0.2922,0
-33430,0.2248,0
-33444,1.8793,0
-33458,0.4591,0
-33472,0.3212,0
-33486,0.0874,0
-33500,0.2824,0
-33514,0.2258,0
-33528,0.0886,0
-33542,0.5676,0
-33556,0.0356,0
-33570,0.0478,0
-33584,0.2367,0
-33598,0.7222,0
-33612,0.5146,0
-33626,0.0598,0
-33640,0.4089,0
-33654,0.2510,0
-33668,0.5356,0
-33682,0.2459,0
-33696,0.5394,0
-33710,0.5594,0
-33724,0.1996,0
-33738,0.7943,0
-33752,0.2229,0
-33766,0.1660,0
-33780,0.9995,0
-33794,0.2767,0
-33808,0.5570,0
-33822,1.0710,0
-33836,1.0819,0
-33850,0.6100,0
-33864,0.8355,0
-33878,2.2915,0
-33892,0.6744,0
-33906,0.0621,0
-33920,0.1037,0
-33934,0.1802,0
-33948,0.3402,0
-33962,0.1592,0
-33976,0.1140,0
-33990,0.2380,0
-34004,0.0866,0
-34018,0.0848,0
-34032,0.9462,0
-34046,0.0464,0
-34060,0.3527,0
-34074,0.9770,0
-34088,0.1456,0
-34102,0.3324,0
-34116,0.2111,0
-34130,0.2279,0
-34144,0.2549,0
-34158,0.1673,0
-34172,0.3160,0
-34186,0.2026,0
-34200,0.4414,0
-34214,0.5292,0
-34228,0.0633,0
-34242,1.2562,0
-34256,1.2446,0
-34270,0.2505,0
-34284,0.2576,0
-34298,0.4067,0
-34312,0.5191,0
